               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09289,            0.030223,            0.042378,             0.13734,             0.63962,             0.11099,            0.036593,            0.047667,            0.013495,            0.037282,            0.070566,           0.0032704,           0.0032704
                   1,            0.057451,            0.023467,            0.039792,            0.066801,             0.43813,            0.096054,            0.050089,            0.042726,           0.0098373,            0.036563,            0.040507,           0.0065443,           0.0065443
                   2,            0.052302,            0.019689,            0.038653,            0.071741,             0.42562,             0.12146,            0.068872,            0.034606,           0.0065064,            0.035804,            0.010387,           0.0097582,           0.0097582
                   3,            0.046436,            0.016179,            0.038486,            0.083332,             0.37472,             0.15264,            0.073722,            0.042953,           0.0059592,            0.036336,             0.00973,             0.00973,             0.00973
                   4,            0.039377,            0.014069,              0.0378,             0.10402,             0.50106,              0.1853,             0.10644,            0.027082,           0.0051004,            0.035226,             0.00973,             0.00973,             0.00973
                   5,            0.036501,            0.012957,            0.037403,             0.28093,             0.39839,             0.21977,             0.12146,            0.028264,           0.0052231,            0.033912,             0.00964,             0.00964,             0.00964
                   6,            0.034306,            0.012418,             0.03658,             0.58975,             0.25524,             0.25612,             0.18235,            0.020628,           0.0048536,            0.033048,             0.00955,             0.00955,             0.00955
                   7,             0.03227,            0.011255,            0.035932,             0.42265,             0.38057,             0.31679,             0.19719,            0.030254,           0.0050996,            0.031872,             0.00946,             0.00946,             0.00946
                   8,            0.031938,            0.010989,            0.034777,             0.49027,             0.43432,             0.32606,               0.181,            0.023689,           0.0046166,            0.030811,             0.00937,             0.00937,             0.00937
                   9,            0.030159,            0.011196,            0.033215,             0.48799,              0.4414,             0.39404,             0.27158,            0.023781,           0.0049253,            0.028609,             0.00928,             0.00928,             0.00928
                  10,            0.029651,            0.010485,             0.03154,             0.43287,             0.51889,              0.4406,             0.30652,            0.020333,           0.0045922,            0.026895,             0.00919,             0.00919,             0.00919
                  11,            0.028336,            0.010188,            0.029598,             0.57434,             0.46929,              0.4654,             0.33049,            0.022219,           0.0048123,            0.024904,              0.0091,              0.0091,              0.0091
                  12,            0.028687,            0.010503,            0.028226,             0.49517,             0.53137,             0.48172,             0.35278,            0.022624,           0.0046248,            0.023361,             0.00901,             0.00901,             0.00901
                  13,            0.028242,            0.010529,            0.026891,             0.47042,             0.64619,             0.51391,             0.38002,            0.020242,           0.0044522,            0.022384,             0.00892,             0.00892,             0.00892
                  14,            0.028235,            0.010318,            0.025282,              0.4215,             0.67585,              0.5954,             0.39914,            0.024678,           0.0044327,            0.020036,             0.00883,             0.00883,             0.00883
                  15,            0.026395,           0.0094198,            0.024007,             0.44296,             0.71889,             0.58264,             0.41563,            0.021713,           0.0045652,            0.021454,             0.00874,             0.00874,             0.00874
                  16,            0.026238,           0.0093704,            0.022808,             0.48453,             0.77785,             0.65638,             0.52092,             0.01849,           0.0042926,            0.017541,             0.00865,             0.00865,             0.00865
                  17,            0.026968,           0.0099294,            0.021382,             0.59548,             0.74299,             0.68493,             0.50495,            0.020442,           0.0042206,            0.016948,             0.00856,             0.00856,             0.00856
                  18,            0.026509,           0.0095391,            0.020108,             0.59662,             0.86209,             0.70239,             0.53824,            0.017929,           0.0042787,            0.016986,             0.00847,             0.00847,             0.00847
                  19,            0.025684,            0.009123,            0.019445,             0.61117,             0.81794,              0.7469,             0.57282,             0.01991,           0.0042795,            0.014734,             0.00838,             0.00838,             0.00838
                  20,            0.025438,           0.0093787,            0.018398,             0.79405,             0.69846,              0.7535,             0.60757,            0.017508,           0.0042544,            0.014219,             0.00829,             0.00829,             0.00829
                  21,            0.024438,           0.0094829,            0.017572,             0.78294,             0.73311,             0.80404,             0.61907,            0.018478,           0.0041229,            0.012186,              0.0082,              0.0082,              0.0082
                  22,            0.023779,           0.0093454,            0.016955,             0.87896,             0.69178,             0.82529,             0.66027,            0.016757,           0.0040727,            0.012466,             0.00811,             0.00811,             0.00811
                  23,             0.02433,           0.0092737,            0.015767,             0.93884,             0.70986,             0.81976,             0.64296,            0.018103,           0.0042506,             0.01062,             0.00802,             0.00802,             0.00802
                  24,            0.024325,            0.009056,            0.015464,              0.7053,             0.80528,             0.82225,             0.65854,            0.016097,           0.0041402,            0.011137,             0.00793,             0.00793,             0.00793
                  25,            0.023779,           0.0090434,            0.014139,             0.83926,              0.8001,             0.82461,             0.65495,            0.016904,           0.0040891,           0.0097759,             0.00784,             0.00784,             0.00784
                  26,            0.023684,           0.0090401,            0.013225,             0.83644,             0.81519,             0.83744,             0.64827,            0.018621,           0.0041342,           0.0089282,             0.00775,             0.00775,             0.00775
